OBSNAME,TANN,PANN,MTWA,MTCO
sdv-id-FVIgex,24.72162252,2078,31.32458534,15.09630138
sdv-id-UhmKkP,27.00600741,2661,32.57184648,22.46736748
sdv-id-COeKlL,24.53377019,3013,29.92727445,17.62693544
sdv-id-XhZJZm,23.30944511,2082,30.62363444,14.07913648
sdv-id-udeCuN,26.02248916,2321,32.54054897,20.83201539
sdv-id-xptysn,26.31442646,1814,32.70563145,19.42420649
sdv-id-FXceqH,25.95051284,2369,31.8470181,21.18836003
sdv-id-sDPMPE,25.36904079,3577,29.93957221,21.50788379
sdv-id-YudDRv,25.99795771,2103,32.73378644,18.59539594
sdv-id-XDnRSX,24.59366513,2158,32.05239804,14.7893297
sdv-id-ZOzJCp,25.84812723,1849,32.53281306,20.36614732
sdv-id-NXRiXG,26.06140365,1876,32.47648054,19.64311839
sdv-id-WHrpBO,25.2623412,1889,30.87693641,20.38592131
sdv-id-XKQwLj,26.9980033,1779,33.41099828,21.810008
sdv-id-wxBTam,25.47751518,3381,31.38203335,16.84938896
sdv-id-QrFRqm,25.93171934,2789,32.03117872,21.01694914
sdv-id-AlXPyn,26.81800577,1514,33.26729534,22.02710309
sdv-id-KGatSH,27.02405391,2153,33.32508224,21.76392654
sdv-id-PnZZog,24.4388485,3189,30.18726433,18.11470577
sdv-id-duzGkQ,26.44208556,3533,31.66725468,21.96410708
sdv-id-IqxyyS,26.47529515,2502,32.38483333,19.72763798
sdv-id-ShMxTK,24.90202424,2113,31.99079067,15.1127807
sdv-id-yetrbW,26.20845856,1739,32.86270511,19.96924998
sdv-id-oaBCxO,26.11484619,2916,30.21173394,22.09465027
sdv-id-EqUYIi,25.03628988,3552,26.51340465,22.47172096
sdv-id-vpnXjE,24.57589447,2465,31.49314162,15.28015541
sdv-id-ITUUMa,27.29815648,3442,32.26096971,22.4966533
sdv-id-PtNptP,25.51964369,2185,32.12133097,20.21551727
sdv-id-UCUHbx,24.79809559,2240,31.60421922,16.37218425
sdv-id-HpJYwp,25.20592083,1524,32.20257242,17.11570321
sdv-id-MNHVUN,26.06728092,2232,32.23376576,21.28790645
sdv-id-UwoDBh,24.87821125,1500,30.95254176,16.52312524
sdv-id-FGVyzu,24.80623701,1925,32.21746934,14.35022382
sdv-id-HeDlpS,24.00869976,1428,31.99304288,12.70043675
sdv-id-CPuOgV,23.51672528,3537,28.51968671,18.34650583
sdv-id-DDJhFC,26.55047934,2689,32.9137074,20.88290226
sdv-id-qfURpu,24.47692736,3511,29.59697422,21.70047812
sdv-id-mrnPlr,25.43166186,2859,30.65958926,20.40102251
sdv-id-KAoiQc,23.82010426,3578,28.04621937,21.10908159
sdv-id-snxqRK,24.6748139,3294,29.07427116,21.88267434
sdv-id-kcvaMB,26.18464087,2385,31.79337655,22.41437116
sdv-id-LPEwgJ,26.65475461,1382,33.88499264,17.82151124
sdv-id-lfFCep,27.0645079,2330,33.18615234,22.32624783
sdv-id-DQcfpj,26.33475152,1723,32.76671038,21.57646883
sdv-id-qODTKT,25.75575608,2800,32.60125306,16.03791322
sdv-id-Ihrtzx,24.75008472,1334,31.8820707,17.57306533
sdv-id-aIpojW,26.97779958,1312,33.77544211,20.10957019
sdv-id-rtPIsU,26.39493003,2832,32.63917113,20.94003319
sdv-id-urblsv,26.13961839,1318,33.10338981,20.26638325
sdv-id-THBchE,26.41769467,2198,32.16825716,21.69166185
sdv-id-FoqTvO,26.82457936,1324,33.16696678,21.57531368
sdv-id-mgHQRO,25.71358647,2805,31.44918006,20.44362998
sdv-id-OqmaQC,27.51327939,1728,33.54667963,22.47519606
sdv-id-sHoOAZ,24.95441575,3168,30.40105911,18.18128247
sdv-id-wiGdHS,26.39738997,2931,31.6899234,22.28723294
sdv-id-KbUbeq,25.31557883,1344,32.31296972,16.54239819
sdv-id-GPEJZu,26.94073398,3289,31.98691871,22.43042471
sdv-id-SKFhKu,25.57757141,1981,32.14688936,18.97994771
sdv-id-ihBcjv,25.03394441,1601,31.27576581,17.14930381
sdv-id-sgwRze,27.07455927,2596,32.75973417,22.39424317
sdv-id-jBrYCC,27.20430468,3254,33.3112325,22.13385419
sdv-id-eLaCWV,25.41479288,1874,30.58057308,19.49462731
sdv-id-ydnOie,25.87211948,2499,31.64837243,20.94413026
sdv-id-GwPdhJ,24.80104234,3375,31.73230292,14.18010418
sdv-id-dYoxlN,25.83630989,2528,32.28949276,17.39554978
sdv-id-PniCZU,24.66037004,2101,32.09648092,15.32414011
sdv-id-fHPeQl,26.27483892,2169,32.62134049,21.1430158
sdv-id-rkGFmc,25.73946441,1892,31.95946731,19.62860931
sdv-id-cIUlCA,26.64335458,2353,32.96334148,20.22049368
sdv-id-ItCAjN,26.24277141,2693,32.20216385,22.0825403
sdv-id-lFGnkG,25.65003733,2106,31.81194619,17.77750454
sdv-id-irqhJB,24.86397848,2186,32.00791764,14.56418536
sdv-id-zFZaXa,26.77120043,2192,32.88539059,21.28298607
sdv-id-llNcpz,24.92047602,3021,30.31403605,19.7177732
sdv-id-jmxwzv,25.87466176,3052,30.7297584,22.06983431
sdv-id-coCQZe,24.33820867,1378,32.7021079,12.82443678
sdv-id-iZyRoT,24.37020116,1910,31.49801871,15.32615186
sdv-id-xUbpoL,26.75117332,1984,33.12772361,21.68914922
sdv-id-vDUYSF,26.32590021,2809,31.73643598,21.75507438
sdv-id-FOASiD,26.88304846,3429,31.66594227,22.45575951
sdv-id-vbHvsT,26.08756473,2193,32.53566672,20.54684527
sdv-id-aCHmVb,27.14272901,2261,32.79970701,22.46484547
sdv-id-wJCrSh,25.1797092,2824,30.44740085,20.83857396
sdv-id-vlrxEP,26.82474903,3566,31.9725877,22.28799969
sdv-id-ydutdA,24.07224581,2625,30.34572864,17.40770557
sdv-id-bKfDcw,25.45981269,3173,31.13869637,19.98156664
sdv-id-rUcAZM,25.48199515,2832,30.88331879,20.68219906
sdv-id-HHrhNo,23.7598094,1535,31.01977328,12.58307158
sdv-id-fxjvOA,26.35499903,1700,33.19284226,19.36340154
sdv-id-lBBTPO,26.1972365,2218,32.99474934,19.65262794
sdv-id-gnpOrL,25.89317884,2689,32.04926885,18.95616937
sdv-id-SkslKP,23.63744866,3448,27.71428934,16.76118692
sdv-id-KKxWao,25.2352124,1958,31.6731215,19.42721765
sdv-id-VxfDKU,25.96338248,2109,32.31925073,18.02410903
sdv-id-qAJehn,25.12797492,1665,31.38300246,20.85820831
sdv-id-XIrnEV,25.9166886,1982,31.82965484,20.0518527
sdv-id-FWGCpa,24.84787472,2768,31.19581429,18.84039889
sdv-id-VwVvUv,25.69440134,1356,32.45550356,19.47337368
sdv-id-AvnjMX,25.597854,2501,32.2069752,18.61625223
sdv-id-CQXiwT,26.776423,1929,33.24092977,19.50778265
sdv-id-LRISFD,26.2243248,2590,32.4287737,20.78054756
sdv-id-sdeqon,25.75641632,3237,31.33078201,20.95482479
sdv-id-IaqjWU,25.27621306,3430,29.28043304,21.56946086
sdv-id-GYJbFU,25.48218566,2259,32.11132552,17.80921502
sdv-id-SjZxBA,25.45392793,3474,30.84775638,20.37874814
sdv-id-WRTsro,26.06555596,1952,32.79872882,20.74084629
sdv-id-cYzQNQ,25.88389205,1957,32.17088313,18.50945303
sdv-id-MRZrrO,26.26413273,2127,32.36114206,21.01446351
sdv-id-vxtbKZ,23.26363974,1518,32.40116157,12.07917863
sdv-id-mNgVvU,23.79422957,2604,30.51091074,15.16893973
sdv-id-rFpGom,22.95084179,2870,30.0967633,13.85118353
sdv-id-jxGtHr,26.05453976,2418,32.63087993,18.81982029
sdv-id-rAtorg,26.3769276,1504,32.89476221,20.21653737
sdv-id-FjxpXs,26.00910711,1351,33.75122102,15.70085816
sdv-id-wooSiz,25.76112164,1444,32.07402069,21.09550174
sdv-id-GIfnjW,26.25243518,2351,32.07983627,21.10920357
sdv-id-hnwAiV,23.3784597,2623,30.94402213,13.84111344
sdv-id-vAlFDI,26.87330934,2502,33.14714519,21.54509869
sdv-id-VgnXvb,25.23586317,3335,29.88487731,19.72479485
sdv-id-slStgl,24.85271465,1335,32.44255343,15.25932482
sdv-id-LIrgIN,25.51147828,1936,31.22133631,18.92938915
sdv-id-PvITAr,26.41958736,3372,32.05349664,20.37272344
sdv-id-hYHlCR,26.07335737,2711,31.37847553,20.86154957
sdv-id-qySDYe,25.40827565,3507,30.07268308,22.43562229
sdv-id-OFjYQe,25.43688868,3148,31.05180483,20.6687581
sdv-id-kWbLXk,24.06515572,2421,29.59928251,18.10766528
sdv-id-FQCOvy,26.96780945,2121,32.23540146,22.45333211
sdv-id-HgTLjV,25.34899119,3103,31.06211618,21.4166831
sdv-id-rYUhNL,26.37822451,2299,31.35045347,20.55353119
sdv-id-SAnKUi,25.25935489,3451,29.22115856,21.95598436
sdv-id-npOWux,25.91054034,3554,29.39921084,22.40185914
sdv-id-DtGWCb,26.43847919,1574,33.35162588,18.97542142
sdv-id-XtVrnl,24.40471623,2792,29.83284492,18.72064006
sdv-id-vawtAB,26.66249818,2177,32.8455486,22.05594057
sdv-id-kyidAG,24.12937003,1897,30.85724293,15.28883247
sdv-id-sqkurv,24.87158659,2644,31.01360165,20.10778603
sdv-id-pwpMvT,25.23536626,2887,31.91308516,17.3090506
sdv-id-pdHeFl,26.26307141,3130,31.79409124,21.68525307
sdv-id-JrcApK,26.06160082,1752,32.92619264,19.01341444
sdv-id-fICsKn,24.59042486,2852,29.1045385,21.83904994
sdv-id-uXmqQy,26.67986524,2635,33.29550234,21.63579576
sdv-id-OBTneY,25.04991006,3514,31.26571314,21.08239709
sdv-id-hgPqqj,25.41204803,3385,29.90081942,21.35164331
sdv-id-KPPCym,24.9884617,3471,30.44745621,21.65968552
sdv-id-JQGTgO,23.29700688,2502,30.78526908,14.34578777
sdv-id-fnXdCu,26.45594629,1515,32.396533,20.13580767
sdv-id-UcIdpT,26.30086011,3192,32.11418987,21.74113242
sdv-id-nGEMue,27.0116421,1307,33.95757221,19.96302742
sdv-id-lrHLtb,26.50520149,2440,32.67514765,20.07391412
sdv-id-qNUTqR,23.78569989,2719,28.77006728,17.94940985
sdv-id-hdIjtE,26.42338427,3406,31.36904652,22.18533011
sdv-id-fIAkcQ,25.26138682,2105,31.04800175,19.30406694
sdv-id-ntlBJY,25.1865106,2724,30.79034796,18.0214714
