OBSNAME,Sapindaceae,Melastomaceae,Byrsonima,Tabebuia,Unonopsis,Ilex,Macoubea,Clusia-type,Solanaceae,Matayba-type
sdv-id-YudDRv,0,0,7,0,0,14,0,0,9,1
sdv-id-XDnRSX,0,0,1,0,0,3,0,0,1,0
sdv-id-ZOzJCp,0,0,3,0,0,2,0,0,5,0
sdv-id-NXRiXG,1,1,1,0,0,6,0,1,3,0
sdv-id-WHrpBO,0,0,17,0,0,11,0,0,2,0
sdv-id-XKQwLj,0,1,15,0,0,15,0,0,18,0
sdv-id-wxBTam,0,1,45,0,0,5,0,0,9,1
sdv-id-QrFRqm,0,1,27,1,0,2,1,0,2,0
sdv-id-AlXPyn,0,0,6,0,0,6,0,0,35,0
sdv-id-KGatSH,0,0,9,0,0,12,0,0,13,0
sdv-id-PnZZog,0,0,4,0,0,2,0,0,6,0
sdv-id-duzGkQ,0,0,1,0,0,14,0,0,1,0
sdv-id-IqxyyS,0,0,7,0,0,10,0,0,7,1
sdv-id-ShMxTK,1,0,1,0,1,2,0,0,12,0
sdv-id-yetrbW,0,0,2,0,0,3,0,0,7,0
sdv-id-oaBCxO,2,0,10,0,0,16,0,1,11,0
sdv-id-EqUYIi,0,0,1,0,0,17,0,0,1,0
sdv-id-vpnXjE,1,1,3,0,0,2,0,0,13,0
sdv-id-ITUUMa,0,1,16,0,0,17,0,0,9,0
sdv-id-PtNptP,0,0,5,0,0,2,0,0,1,1
sdv-id-UCUHbx,0,1,10,1,1,1,0,0,1,1
sdv-id-HpJYwp,2,0,3,0,0,2,0,0,1,1
sdv-id-MNHVUN,0,1,6,0,0,3,0,1,8,0
sdv-id-UwoDBh,0,1,8,0,0,9,1,0,2,1
sdv-id-FGVyzu,0,0,3,0,0,4,1,0,3,0
sdv-id-HeDlpS,0,0,1,0,0,20,0,0,11,0
sdv-id-CPuOgV,1,0,4,0,0,3,4,0,5,0
sdv-id-DDJhFC,0,0,16,0,0,17,0,0,5,0
sdv-id-qfURpu,1,0,10,0,0,14,0,1,2,0
sdv-id-mrnPlr,0,0,1,1,0,7,1,0,25,0
sdv-id-KAoiQc,0,0,15,0,0,13,0,0,9,0
sdv-id-snxqRK,0,1,2,0,0,9,0,1,15,0
sdv-id-kcvaMB,0,0,3,1,0,17,0,0,9,0
sdv-id-LPEwgJ,2,0,9,1,1,16,0,0,1,1
sdv-id-lfFCep,0,0,1,0,1,5,0,1,3,0
sdv-id-DQcfpj,0,0,2,1,0,13,1,0,3,0
sdv-id-qODTKT,0,0,19,0,0,3,0,0,1,0
sdv-id-Ihrtzx,0,1,5,0,0,5,0,1,18,0
sdv-id-aIpojW,0,0,2,0,0,1,1,1,12,1
sdv-id-rtPIsU,0,1,37,1,0,15,0,0,2,1
sdv-id-urblsv,0,1,19,1,0,4,0,1,7,0
sdv-id-THBchE,0,0,2,0,0,14,0,0,4,1
sdv-id-FoqTvO,0,0,24,0,0,5,0,0,1,0
sdv-id-mgHQRO,0,0,6,0,0,2,0,0,5,0
sdv-id-OqmaQC,5,0,20,0,0,9,0,0,3,0
sdv-id-sHoOAZ,3,1,3,1,1,21,1,0,1,0
sdv-id-wiGdHS,0,1,2,0,0,3,0,1,24,0
sdv-id-KbUbeq,0,0,1,0,0,14,0,0,8,0
sdv-id-GPEJZu,0,0,14,1,1,9,0,0,4,1
sdv-id-SKFhKu,4,0,22,0,0,3,0,1,5,0
sdv-id-ihBcjv,0,0,18,0,0,2,1,1,3,0
sdv-id-sgwRze,0,0,30,1,0,4,0,0,4,0
sdv-id-jBrYCC,0,0,9,1,0,8,0,0,10,1
sdv-id-eLaCWV,1,0,11,0,0,10,1,0,25,1
sdv-id-ydnOie,0,1,11,1,0,5,1,0,4,0
sdv-id-GwPdhJ,2,1,1,0,0,19,0,0,5,0
sdv-id-dYoxlN,1,0,1,0,0,10,0,0,4,1
sdv-id-PniCZU,0,1,5,0,0,3,1,0,8,0
sdv-id-fHPeQl,0,0,7,0,1,21,0,0,3,0
sdv-id-rkGFmc,0,0,3,1,1,1,1,0,5,0
sdv-id-cIUlCA,0,0,19,0,0,6,0,1,1,0
sdv-id-ItCAjN,0,0,2,1,0,15,0,0,11,1
sdv-id-lFGnkG,1,0,11,0,0,5,1,0,2,0
sdv-id-irqhJB,0,1,13,0,1,1,0,0,20,0
sdv-id-zFZaXa,0,0,27,0,0,1,0,0,5,1
sdv-id-llNcpz,0,1,2,0,0,3,0,0,1,0
sdv-id-jmxwzv,0,1,14,0,0,12,0,1,3,0
sdv-id-coCQZe,0,0,1,0,0,12,0,0,4,0
sdv-id-iZyRoT,1,0,10,0,0,2,1,0,1,0
sdv-id-xUbpoL,2,0,3,0,0,5,0,0,1,1
sdv-id-vDUYSF,1,1,59,0,0,19,1,0,3,1
sdv-id-FOASiD,0,1,55,0,0,5,1,0,2,0
sdv-id-vbHvsT,1,0,3,0,0,5,0,0,24,0
sdv-id-aCHmVb,1,0,39,0,0,17,0,0,9,0
sdv-id-wJCrSh,1,1,2,1,0,4,0,0,21,0
sdv-id-vlrxEP,1,0,1,0,1,6,0,0,1,0
sdv-id-ydutdA,0,0,46,0,1,6,0,0,4,1
sdv-id-bKfDcw,0,1,8,0,1,13,1,0,1,0
sdv-id-rUcAZM,1,1,2,0,0,18,0,0,3,0
sdv-id-HHrhNo,0,0,4,0,0,6,0,2,46,1
sdv-id-fxjvOA,0,0,5,0,0,1,1,0,8,0
sdv-id-lBBTPO,0,1,35,0,0,2,0,0,2,0
sdv-id-gnpOrL,0,0,37,0,0,5,1,0,4,0
sdv-id-SkslKP,0,0,16,0,1,8,0,0,5,0
sdv-id-KKxWao,0,1,1,1,0,17,0,0,16,0
sdv-id-VxfDKU,0,0,37,0,0,4,0,0,6,1
sdv-id-qAJehn,0,0,2,1,0,7,0,0,1,0
sdv-id-XIrnEV,1,1,66,0,0,4,1,1,7,0
sdv-id-FWGCpa,0,0,2,0,0,6,0,0,10,0
sdv-id-VwVvUv,0,0,3,0,0,5,0,1,12,0
sdv-id-AvnjMX,1,0,2,0,0,6,0,0,1,0
sdv-id-CQXiwT,1,0,1,1,0,10,0,1,5,0
sdv-id-LRISFD,0,0,1,0,0,7,1,1,4,0
sdv-id-sdeqon,1,0,1,0,0,13,0,0,6,0
sdv-id-IaqjWU,0,0,5,0,0,8,0,0,2,0
sdv-id-GYJbFU,0,0,2,0,1,2,1,0,5,0
sdv-id-SjZxBA,0,0,2,1,0,6,0,1,23,0
sdv-id-WRTsro,1,0,27,0,0,5,0,0,3,0
sdv-id-cYzQNQ,1,0,2,1,0,3,0,0,15,0
sdv-id-MRZrrO,0,1,41,1,0,18,0,1,8,1
sdv-id-vxtbKZ,0,0,1,1,0,1,1,0,3,1
sdv-id-mNgVvU,2,0,6,0,1,11,0,0,2,0
sdv-id-rFpGom,0,0,1,0,0,7,1,0,7,1
sdv-id-jxGtHr,1,1,7,0,0,12,0,0,18,0
sdv-id-rAtorg,0,0,15,0,1,18,0,0,6,0
sdv-id-FjxpXs,0,1,9,1,0,15,0,0,1,0
sdv-id-wooSiz,0,1,15,0,0,14,0,0,3,1
sdv-id-GIfnjW,1,0,7,1,0,17,0,0,2,0
sdv-id-hnwAiV,0,0,1,1,0,16,0,0,5,0
sdv-id-vAlFDI,1,1,3,0,0,5,0,0,1,0
sdv-id-VgnXvb,4,1,25,0,1,13,1,1,9,1
sdv-id-slStgl,1,1,5,0,0,11,0,0,22,0
sdv-id-LIrgIN,0,0,26,1,0,5,0,0,11,0
sdv-id-PvITAr,0,0,10,0,1,8,0,1,13,1
sdv-id-hYHlCR,1,0,5,0,0,2,0,0,2,0
sdv-id-qySDYe,0,1,1,0,0,6,1,0,11,1
sdv-id-OFjYQe,0,0,10,0,0,17,1,0,3,0
sdv-id-kWbLXk,0,0,6,1,0,3,0,1,1,0
sdv-id-FQCOvy,0,1,51,0,0,15,0,0,14,0
sdv-id-HgTLjV,0,0,6,0,0,3,0,0,14,1
sdv-id-rYUhNL,1,1,2,1,1,20,0,0,18,0
sdv-id-SAnKUi,0,1,4,0,0,15,0,0,15,0
sdv-id-npOWux,1,0,11,0,0,9,1,0,2,0
sdv-id-DtGWCb,0,1,1,0,0,10,0,0,3,0
sdv-id-XtVrnl,1,1,2,0,0,16,1,0,3,0
sdv-id-vawtAB,1,0,9,1,1,7,1,1,1,0
sdv-id-kyidAG,0,1,45,1,0,4,0,0,1,0
sdv-id-sqkurv,0,0,4,0,1,19,0,0,13,0
sdv-id-pwpMvT,0,0,2,0,0,7,1,0,3,1
sdv-id-pdHeFl,0,0,2,0,1,14,0,0,2,0
sdv-id-JrcApK,0,1,10,0,0,21,0,0,1,0
sdv-id-fICsKn,0,0,6,0,0,13,0,0,16,0
sdv-id-uXmqQy,0,0,20,0,0,3,0,0,3,0
sdv-id-OBTneY,1,0,6,0,0,10,1,1,1,0
sdv-id-hgPqqj,0,1,3,1,0,4,0,0,1,0
sdv-id-KPPCym,0,0,22,0,0,9,0,1,5,0
sdv-id-JQGTgO,0,0,1,0,0,2,0,0,4,0
sdv-id-fnXdCu,0,1,4,0,0,7,0,0,2,1
sdv-id-UcIdpT,0,0,6,0,0,8,0,0,1,0
sdv-id-nGEMue,0,0,3,0,1,6,0,1,1,0
sdv-id-lrHLtb,0,0,20,0,0,18,0,0,13,0
sdv-id-qNUTqR,0,0,6,0,0,2,0,0,1,0
sdv-id-hdIjtE,0,1,8,0,1,4,1,0,1,0
sdv-id-fIAkcQ,0,0,6,1,1,5,0,0,6,1
sdv-id-ntlBJY,0,1,29,0,1,13,1,0,2,0
