OBSNAME,LONG,LATI,ALTI
sdv-id-DDJhFC,-68.93407392,-3.3537536,57
sdv-id-qfURpu,-77.55537614,1.16501873,325
sdv-id-mrnPlr,-72.19495242,-2.02230742,72
sdv-id-KAoiQc,-77.58945981,7.41311915,224
sdv-id-snxqRK,-77.97120184,2.61672392,609
sdv-id-kcvaMB,-64.35710498,-2.18388271,120
sdv-id-LPEwgJ,-46.65,-17.75,127
sdv-id-lfFCep,-75.69184206,2.06020721,32
sdv-id-DQcfpj,-71.99967804,-5.38839063,65
sdv-id-qODTKT,-51.32042372,-12.17184716,85
sdv-id-Ihrtzx,-60.91770061,-11.8054766,114
sdv-id-aIpojW,-73.66512066,-11.29922574,174
sdv-id-rtPIsU,-60.85137457,-1.85655995,68
sdv-id-urblsv,-57.509733,-4.47017071,39
sdv-id-THBchE,-72.76643778,-3.11706888,113
sdv-id-FoqTvO,-67.8652159,0.62442413,55
sdv-id-mgHQRO,-72.88850126,-5.56982253,216
sdv-id-OqmaQC,-49.20117406,-3.37310439,7
sdv-id-sHoOAZ,-77.53943735,-5.67154207,479
sdv-id-wiGdHS,-70.30825544,-1.27890435,35
sdv-id-KbUbeq,-73.38810969,-13.28010568,363
sdv-id-GPEJZu,-73.48293168,8.34597666,59
sdv-id-SKFhKu,-74.11081469,-6.71007826,290
sdv-id-ihBcjv,-72.69940308,-0.94737377,152
sdv-id-sgwRze,-62.31165089,1.99930362,10
sdv-id-jBrYCC,-64.55508122,-2.60176562,8
sdv-id-eLaCWV,-77.65267129,1.5581125,322
sdv-id-ydnOie,-76.29777088,-0.19141776,301
sdv-id-GwPdhJ,-76.68164324,-8.54586062,584
sdv-id-dYoxlN,-75.55654826,-4.78122532,240
sdv-id-PniCZU,-76.3945319,-8.71603303,554
sdv-id-fHPeQl,-55.33433406,-9.79672318,153
sdv-id-rkGFmc,-70.76130538,-14.82119993,422
sdv-id-cIUlCA,-68.07002,-3.86848603,101
sdv-id-ItCAjN,-55.45271683,-8.18113795,130
sdv-id-lFGnkG,-73.55689066,-5.72438309,318
sdv-id-irqhJB,-68.96234621,-8.44586541,130
sdv-id-zFZaXa,-62.36552799,-5.3064687,67
sdv-id-llNcpz,-78.00704593,-2.20053945,548
sdv-id-jmxwzv,-76.66734902,11.65315089,69
sdv-id-coCQZe,-76.3222058,-17.75,952
sdv-id-iZyRoT,-77.36968958,-11.83638216,1055
sdv-id-xUbpoL,-46.96496923,-7.63108642,23
sdv-id-vDUYSF,-69.13477108,-4.51547944,80
sdv-id-FOASiD,-63.73136206,0.39289521,27
sdv-id-vbHvsT,-69.6913865,-0.96096959,48
sdv-id-aCHmVb,-67.34490499,4.89374462,29
sdv-id-wJCrSh,-75.10451591,-8.09516705,220
sdv-id-vlrxEP,-72.54335254,3.54439785,77
sdv-id-ydutdA,-73.71493363,-6.17976122,600
sdv-id-bKfDcw,-74.98595371,-5.82576546,291
sdv-id-rUcAZM,-75.81132738,-4.18940659,436
sdv-id-HHrhNo,-73.95632034,-13.84673055,417
sdv-id-fxjvOA,-63.85947015,-13.11292139,170
sdv-id-lBBTPO,-56.46656587,-9.87611859,63
sdv-id-gnpOrL,-62.22288423,-10.03364907,118
sdv-id-SkslKP,-77.26173146,3.73379901,595
sdv-id-KKxWao,-70.65683296,-6.86292725,355
sdv-id-VxfDKU,-73.32556655,-6.63023137,342
sdv-id-qAJehn,-70.00215605,-9.14172744,211
sdv-id-XIrnEV,-53.32448879,-4.74569052,62
sdv-id-FWGCpa,-77.99935989,3.83094113,222
sdv-id-VwVvUv,-64.81869667,-5.19104521,261
sdv-id-AvnjMX,-75.94674401,-5.8636508,212
sdv-id-CQXiwT,-50.09186162,-8.86914237,76
sdv-id-LRISFD,-65.35710966,-5.85363441,87
sdv-id-sdeqon,-77.14226912,1.78551838,185
sdv-id-IaqjWU,-77.86067745,11.08520601,194
sdv-id-GYJbFU,-62.84893162,-4.33225014,33
sdv-id-SjZxBA,-77.24603494,3.31917788,185
sdv-id-WRTsro,-59.55193361,2.80345755,15
sdv-id-cYzQNQ,-74.57195904,-13.4273323,235
sdv-id-MRZrrO,-69.38833576,-5.17191907,97
sdv-id-vxtbKZ,-77.61267536,-17.5486837,1003
sdv-id-mNgVvU,-72.91502275,-9.26210107,600
sdv-id-rFpGom,-76.74817275,-8.74157916,501
sdv-id-jxGtHr,-70.45199179,-8.14241468,77
sdv-id-rAtorg,-55.51592603,-13.52365627,180
sdv-id-FjxpXs,-63.76892757,-14.64511416,109
sdv-id-wooSiz,-68.14511403,-11.91072395,271
sdv-id-GIfnjW,-70.5912645,-3.27581642,113
sdv-id-hnwAiV,-74.67016694,-12.38600412,706
sdv-id-vAlFDI,-66.29018848,0.09258853,36
sdv-id-VgnXvb,-76.53464162,0.19309231,519
sdv-id-slStgl,-46.65,-15.13290858,117
sdv-id-LIrgIN,-73.6658748,-8.03784568,125
sdv-id-PvITAr,-76.33361695,0.72446864,74
sdv-id-hYHlCR,-73.17605925,-4.51071554,177
sdv-id-qySDYe,-75.4909278,7.7594024,139
sdv-id-OFjYQe,-66.43355132,-4.21222146,276
sdv-id-kWbLXk,-70.31508796,-11.38851415,354
sdv-id-FQCOvy,-52.05680343,-0.55806636,20
sdv-id-HgTLjV,-57.26756862,-7.87725835,171
sdv-id-rYUhNL,-77.27285783,-4.30912626,178
sdv-id-SAnKUi,-75.2875423,0.70651054,155
sdv-id-npOWux,-68.40868972,5.1158839,31
sdv-id-DtGWCb,-70.29932143,-11.10589349,301
sdv-id-XtVrnl,-77.79523374,-7.34926488,683
sdv-id-vawtAB,-66.37430803,-1.84819181,76
sdv-id-kyidAG,-77.76066389,-11.54039515,617
sdv-id-sqkurv,-71.65679029,-4.92465122,149
sdv-id-pwpMvT,-77.88578814,0.47846552,156
sdv-id-pdHeFl,-76.31280115,2.6092826,212
sdv-id-JrcApK,-69.28935577,-8.34049001,257
sdv-id-fICsKn,-75.69467135,2.26597012,434
sdv-id-uXmqQy,-68.80595925,2.67757672,25
sdv-id-OBTneY,-77.06011483,-0.56879383,317
sdv-id-hgPqqj,-72.92711349,-6.59322021,282
sdv-id-KPPCym,-72.86407623,-6.912031,269
sdv-id-JQGTgO,-75.83513337,-13.52413892,624
sdv-id-fnXdCu,-62.81158347,-6.27577474,52
sdv-id-UcIdpT,-70.8090884,-0.63970732,45
sdv-id-nGEMue,-46.65,-13.52969199,19
sdv-id-lrHLtb,-69.292841,2.99620409,27
sdv-id-qNUTqR,-78.13357201,-10.78046232,1149
sdv-id-hdIjtE,-68.91159727,-2.5246211,56
sdv-id-fIAkcQ,-74.2472679,2.17962953,171
sdv-id-ntlBJY,-73.10781872,-3.41899274,112
